bowler_full_name,wickets,balls_bowled,runs_conceded,matches,fours_conceded,sixes_conceded,overs,economy
A Chandila,11,234,245.0,12,17,10,39.0,6.28
SMSM Senanayake,9,192,211.0,8,17,5,32.0,6.59
SM Pollock,11,276,307.0,13,30,9,46.0,6.67
Sohail Tanvir,22,247,275.0,11,27,7,41.17,6.68
IS Sodhi,9,181,204.0,8,9,8,30.17,6.76
Anil Kumble,45,965,1089.0,42,72,35,160.83,6.77
GD McGrath,12,324,366.0,14,41,10,54.0,6.78
FH Edwards,5,140,160.0,6,20,2,23.33,6.86
J Yadav,8,390,447.0,20,31,15,65.0,6.88
DL Vettori,28,777,894.0,34,67,24,129.5,6.9
