venue,matches,total_runs,avg_runs_per_match
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",7,2981.0,425.86
"Wankhede Stadium, Mumbai",7,2939.0,419.86
"M Chinnaswamy Stadium, Bengaluru",5,1921.0,384.2
"Himachal Pradesh Cricket Association Stadium, Dharamsala",10,3740.0,374.0
"Sawai Mansingh Stadium, Jaipur",21,7829.0,372.81
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",26,9605.0,369.42
"MA Chidambaram Stadium, Chepauk, Chennai",7,2583.0,369.0
Arun Jaitley Stadium,37,13378.0,361.57
"Shaheed Veer Narayan Singh International Stadium, Raipur",2,719.0,359.5
"Narendra Modi Stadium, Ahmedabad",41,14428.0,351.9
