team,matches,wins,losses,win_percentage
Mumbai Indians,282,152,130,53.90070921985816
Chennai Super Kings,257,144,113,56.03112840466926
Royal Challengers Bengaluru,275,136,139,49.45454545454545
Kolkata Knight Riders,269,135,134,50.18587360594795
Punjab Kings,269,123,146,45.72490706319702
Delhi Capitals,271,120,151,44.28044280442804
Rajasthan Royals,240,118,122,49.16666666666666
Sunrisers Hyderabad,201,95,106,47.2636815920398
Gujarat Titans,64,39,25,60.9375
Lucknow Super Giants,63,32,31,50.79365079365079
Deccan Chargers,75,29,46,38.66666666666666
Rising Pune Supergiants,30,15,15,50.0
Gujarat Lions,30,13,17,43.333333333333336
Pune Warriors,46,12,34,26.08695652173913
Kochi Tuskers Kerala,14,6,8,42.85714285714285
