bowler_full_name,wickets,balls_bowled,runs_conceded,matches,fours_conceded,sixes_conceded,overs,economy
Yuzvendra Chahal,221,3791,5112.0,172,299,250,631.83,8.09
Bhuvneshwar Kumar,198,4222,5541.0,190,558,170,703.67,7.87
Sunil Narine,192,4351,5029.0,187,318,188,725.17,6.93
Piyush Chawla,192,3850,5179.0,191,374,222,641.67,8.07
Ravichandran Ashwin,187,4710,5721.0,217,334,221,785.0,7.29
Jasprit Bumrah,186,3359,4162.0,145,362,124,559.83,7.43
Dwayne Bravo,183,3120,4436.0,158,349,155,520.0,8.53
Amit Mishra,174,3371,4193.0,162,239,184,561.83,7.46
Ravindra Jadeja,170,4056,5242.0,225,313,224,676.0,7.75
Lasith Malinga,170,2827,3486.0,122,314,86,471.17,7.4
