team1,team2,winner,team1_encoded,team2_encoded,winner_encoded
Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,6,13,6
Chennai Super Kings,Punjab Kings,Chennai Super Kings,0,10,0
Rajasthan Royals,Delhi Capitals,Delhi Capitals,11,2,2
Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,8,13,13
Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,1,6,6
Punjab Kings,Rajasthan Royals,Rajasthan Royals,10,11,11
Deccan Chargers,Delhi Capitals,Delhi Capitals,1,2,2
Chennai Super Kings,Mumbai Indians,Chennai Super Kings,0,8,0
Deccan Chargers,Rajasthan Royals,Rajasthan Royals,1,11,11
Punjab Kings,Mumbai Indians,Punjab Kings,10,8,10
Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,13,11,11
Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,6,0,0
Mumbai Indians,Deccan Chargers,Deccan Chargers,8,1,1
Delhi Capitals,Punjab Kings,Punjab Kings,2,10,10
Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,0,13,0
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,6,8,8
Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,2,13,2
Deccan Chargers,Punjab Kings,Punjab Kings,1,10,10
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,11,6,11
Chennai Super Kings,Delhi Capitals,Delhi Capitals,0,2,2
Deccan Chargers,Royal Challengers Bengaluru,Royal Challengers Bengaluru,1,13,13
Punjab Kings,Kolkata Knight Riders,Punjab Kings,10,6,10
Mumbai Indians,Delhi Capitals,Mumbai Indians,8,2,8
Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,0,11,11
Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,13,10,10
Chennai Super Kings,Deccan Chargers,Deccan Chargers,0,1,1
Rajasthan Royals,Mumbai Indians,Mumbai Indians,11,8,8
Delhi Capitals,Chennai Super Kings,Chennai Super Kings,2,0,0
Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,6,13,6
Deccan Chargers,Rajasthan Royals,Rajasthan Royals,1,11,11
Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,13,8,8
Chennai Super Kings,Punjab Kings,Chennai Super Kings,0,10,0
Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,6,1,6
Delhi Capitals,Rajasthan Royals,Rajasthan Royals,2,11,11
Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,13,10,10
Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,6,2,6
Chennai Super Kings,Mumbai Indians,Mumbai Indians,0,8,8
Punjab Kings,Rajasthan Royals,Punjab Kings,10,11,10
Delhi Capitals,Deccan Chargers,Delhi Capitals,2,1,2
Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,6,8,8
Delhi Capitals,Punjab Kings,Delhi Capitals,2,10,2
Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,11,13,11
Mumbai Indians,Deccan Chargers,Mumbai Indians,8,1,8
Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,6,0,6
Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,13,2,2
